prompt,completion
"Once upon a time, there lived a hamster in the forest. Every day, he would walked around the forest and looking for adventures. One day, he heard someone calling out from behind the bushes.
The hamster listened carefully. He realised that it was a small mouse calling out for help. It got stuck under a heavy log and couldn't get out. The hamster immediately realized that"," it was going home quickly.

The navy tried to rescue the mouse with the problem. He thought and thought very hard. With his friends help, the navy faded it away! He was relieved and happy, and he knew he could stay safe on all alone. The end.


One day, Jack woke up early because he went to the farm. He was anxious to see the animals around him. He could hear all of the animal chirping about, it was like they were doing things for him.

Suddenly, he spotted two little pigs march around. They all seemed to like the march of the pigs and chicks running all around.

One pig called out, ""Hello Jack!"" and hesitated, but they were still curious too!

Jack smiled, feeling very excited that it was the day so"
"Once upon a time, there lived a hamster in the forest. Every day, he would walked around the forest and looking for adventures. One day, he heard someone calling out from behind the bushes.
The hamster listened carefully. He realised that it was a small mouse calling out for help. It got stuck under a heavy log and couldn't get out. The hamster immediately realized that"," the mouse wanted to help. It ran very quickly.

When it was safe, the bird had an idea. With one big breath, the other hamster ran up the mountain. With some big effort, the hamster fated himself with some help. Together, the hamster was able to escape up and go back, feeling very happy to be part of the forest.


One day there was a little girl who was very scared. It was getting heavy and she was worried one day so she decided to go exploring.

She waded down the path to find the perfect place. As she climbed up she saw something amazing and wide.

It was a tall building. There were trees high up in the branches and even a big building.

The little girl felt brave, so she decided to wander closer to get a better view. It felt"
"Once upon a time, there lived a hamster in the forest. Every day, he would walked around the forest and looking for adventures. One day, he heard someone calling out from behind the bushes.
The hamster listened carefully. He realised that it was a small mouse calling out for help. It got stuck under a heavy log and couldn't get out. The hamster immediately realized that"," it was too heavy for him. He started to cry, who it tried to help and tried to get the mouse out. 

He asked for help, but no one answered, and he was not sure that someone was there. Then, the hamster saw a small cat. The mouse asked the cat why he had been so troubled by this time and why there was no one there. The hamster said that being greedy had been something inside the small village.

The End.


Once upon a time, there was a curious girl who liked to explore the world. Every day, she tried to find new things, but didn't know which way to go by.

So, one day she decided on an adventure, to search far, in faitive space. On the way, her journey came, but lit up a dark castle. No"
"Once upon a time, there lived a hamster in the forest. Every day, he would walked around the forest and looking for adventures. One day, he heard someone calling out from behind the bushes.
The hamster listened carefully. He realised that it was a small mouse calling out for help. It got stuck under a heavy log and couldn't get out. The hamster immediately realized that"," it was very small.

The fox carefully made himself comfortable and thanked the nurse. Then he went on to sleep at his cozy, cozy nap. He was safe again. When he returned to the tree, he snuggled down to rest. He was happy to know that a kind bird would protect him, because she helped him. From that day on, the numberman felt more comfortable in its spot and the little bird was able to climb the deer any more.

The End.


Once there were two friends. Mary and Tom and Amy were so excited. Every day, they ran into space! One day they wanted to take a picnic, so Mary took out the food on the shelf. Jack grabbed some food, but as soon as it was in place, Sue started to shiver.

Tom said, â€˜Mimi"
"Once upon a time, there lived a hamster in the forest. Every day, he would walked around the forest and looking for adventures. One day, he heard someone calling out from behind the bushes.
The hamster listened carefully. He realised that it was a small mouse calling out for help. It got stuck under a heavy log and couldn't get out. The hamster immediately realized that"," it must have been trying to find its home for its home. 
He slowly climbed down the log and carefully freed the mouseâ€™s home. The tiger was happy and so proud that he had come out safely to safety!


John and his mother had been working on an apron. His mom had given it to him as a surprise. John's dad had to help. He said he would buy his apron, but John wanted his apron now! He asked his mother for it to buy more money so he would have one.

He was so excited to get his apron all the time. He wanted to share the old apron with his mom instead. He chose a special brush that could health his hands and then take care of it. He put all the brus"
"Jack asked his mom if he could ride the bike all the way to his grandmother's house. She agreed, but she said that he shouldn't ride too fast because it was raining and the path was wet.
He started riding and realized he was hungry, so he decided that he should get to his grandmother's house as fast as possible. But then he remembered his mum's words ""","pay' on him!"" She pointed to the door and Jack saw a nice white roof at the window.

Jack ran towards it, but then he heard mum yelling from his grandmother. She quickly opened the door. ""Oh no,"" she said, ""let's put the helmet down for dinner tonight.""

Jack was disappointed but said he had to go to bed for dinner with his parents. He thanked her and promised to look out the window when they got there. After dinner, he went back to his grandmother's house and said, ""Today's ready. Don't worry and watch TV so quickly before dinner!""


Once upon a time there were two best friends in Tuesday at the beach. One Tuesday, Tues got thirsty and wanted a drink. Tu"
"Jack asked his mom if he could ride the bike all the way to his grandmother's house. She agreed, but she said that he shouldn't ride too fast because it was raining and the path was wet.
He started riding and realized he was hungry, so he decided that he should get to his grandmother's house as fast as possible. But then he remembered his mum's words """,prrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
"Jack asked his mom if he could ride the bike all the way to his grandmother's house. She agreed, but she said that he shouldn't ride too fast because it was raining and the path was wet.
He started riding and realized he was hungry, so he decided that he should get to his grandmother's house as fast as possible. But then he remembered his mum's words ""","finalance"". So, with a heavy heart, he went to grach his grandmother, who told her he could come back and ride the bike later.

His parents were worried. No matter how much Dad, the oldest boy was always there to ride the bike for fun and exciting places to learn more.


Once upon a time there was a bear. His name was Max. He was the fastest runner in his town!
Max felt envious of the ranch with the other animals in his kingdom. On his way there was a little bird! Max was very surprised for the bird too.

Suddenly, a big storm came. It started to spread over the town. Max's tigers were very angry! The wind would blow their wings and the rain started to grow big, strong and it was all the way down"
"Jack asked his mom if he could ride the bike all the way to his grandmother's house. She agreed, but she said that he shouldn't ride too fast because it was raining and the path was wet.
He started riding and realized he was hungry, so he decided that he should get to his grandmother's house as fast as possible. But then he remembered his mum's words ""","relack"" that he said. He was so glad that the wind was strong too that he was still enjoying his bike so much. But he was sure it was time to have his grandmother's memories too.


Once upon a time there was a boy called John who was getting ready to go to work. As he was walking out in the country of the house he noticed something strange. He stopped and looked closely, and it wasn't quitting her in front of a stall.

Suddenly, a voice shouted, ""Hey, young once,"" the voice replied.

John was so shy that he stopped and listened carefully. When a voice said, ""Please be careful. This man could make a lot of traffic. Would you please be me here, John?""

John looked carefully and said, ""Yes,"
"Jack asked his mom if he could ride the bike all the way to his grandmother's house. She agreed, but she said that he shouldn't ride too fast because it was raining and the path was wet.
He started riding and realized he was hungry, so he decided that he should get to his grandmother's house as fast as possible. But then he remembered his mum's words ""","fair"" before getting to her grandmother's house.

The boy was happy and grateful for his grandmother's words. He promised his grandmother he would pay back soon soon enough. After this, the bike was safe and Jack went back on his grandmother's back. He never forgot the importance of taking risks and he was very grateful with his mum. He knew he should be able to ride the bike, he was excited to go on bikes.


One day, Peter and his mommy went on a walk in the park. It was so beautiful that they were wearing sungallowers and big blue sky. As they went, Peter felt so happy as well as they had their walk along.

Suddenly, they heard the wind chug. They looked around as fastened as they could, but"
"Alice was bored and wanted to find some adventures. She walked up to her friend Ben, who looked vey busy playing with his toys. Alice said, ""Why don't we"," find something fun?"" She pointed to the walls and said, ""Look at everything!""

Suddenly, Lila and Ben got bored. ""What should we do?"" Mia said. She took another card, a teddy bear and said, ""I want all sorts! They are boring. Why don't you go outside and see what makes me happy?"" Ben looked at the stuff and then nodded.

Lila and Ben started to explore the backyard. Alice, adding a blanket, a car and a flower and a bike. Soon, a rabbit appeared in the doorstep, leading her to the yard. They welcomed Lila and Ben to play.

Lila and Ben were so happy that their time in the backyard started in their modern bed, and soon she was singing even louder. ""This is a special card, I brought for everyone!""
"
"Alice was bored and wanted to find some adventures. She walked up to her friend Ben, who looked vey busy playing with his toys. Alice said, ""Why don't we"," try and find the key to the keys?""

Ben thought for a moment. ""That means you need a key to use and find the key we need,"" he agreed.

They worked together to unload a special box to the backyard. They tried the keys and the keys they had hidden from the key that said, ""We want it!"" They found some leaves on the ground, and some leaves. They were about to turn the key and put the key down.

But the key was too tight, and the key wouldn't bury the keys. They tried to turn the key, but it didn't work. They both lost the key and couldn't afford them. So they sat around the corner and saw the shiny key and its power of the lock clute.

They were very sad and tired with their surprise, but also a"
"Alice was bored and wanted to find some adventures. She walked up to her friend Ben, who looked vey busy playing with his toys. Alice said, ""Why don't we"," join and be quiet? We can have fun!""

Ben was excited and said, ""That sounds fun. Let's take pictures with our toys!""

Alice's mom smiled and said, ""Yes, let's go!""

Ben and Alice went to the backyard and met their parents. Ben and Alice talked and laughed the whole way for the toys. When it was almost dark, Ben said goodbye and set off to go to bed.

Alice dreamed about her new toy car and she realized what her parents had said and they both agreed that the noisy one was bored with all the other kids playing with her toys!


There were two people. One child wanted a voyal too. Bill saw a voyage in front of them and thought that it must have a special victory from their parents."
"Alice was bored and wanted to find some adventures. She walked up to her friend Ben, who looked vey busy playing with his toys. Alice said, ""Why don't we"," come down? Let's go upstairs and have some candy!"" Ben said, ""Oh, I understand!"" They started to walk downstairs, until they found a big box next to it and opened it. Inside, there was a beautiful doll, with a red dress and yellow dresses. Ben said, ""Really? That was very fun! We can all have a race travenderst!""

Suddenly, they saw a big, hairy dog running over one side. She started running backwards, barking and jumping at them. The dog was very surprised and said, ""Why are you so nosy. He wants to follow us! They are so pretty and playful!""

Alice looked up, and noticed they didn't look like they were playing tag in front of an angry dog. But her friend said, ""Come on,"
"Alice was bored and wanted to find some adventures. She walked up to her friend Ben, who looked vey busy playing with his toys. Alice said, ""Why don't we"," go to the toy store like the toy shop, Lily?"" Ben smiled and said, ""Let's ask Lily. She says yes! We can do it!""

They walked away and waited for Anna to answer and Tom to come with her. Ben ran to get Lily's attention. But he missed her! He was confused. Alice looked back at him with surprise. She didn't know what to do.

Soon, Lily had her pass and Ben started to feel sad. She wanted to have her own good toy, but she also loved her.

""Ben is a good friend, too,"" Alice said. ""Do you want to share the toy truck with him? He will like to play with you and not ask you if his parents are rude.""

Ben looked at her and frowned. ""I'm sorry, Lily. I didn't know"
"Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, but"," then I have to go.""

Alice remembered seeing Ben have some paper for a few minutes and she had some in her toy box later. As she walked down the street, she noticed a strange looking creature that had spoppet a beautiful bird. 

The two birds started buried in a clearing. Alice wanted to catch this bird, so she took a big bite. It was so sour! 

But the next morning, she went back home and the birds flew away in the nearby forest. She knew to do something special that wasn't the consenected way of her friend. She smiled and went home with a smile on her face.


Once upon a time there was a little boy. He was very happy. Today, he loved to play outside.

He got his rubber ball and tried to jump up with the"
"Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, but"," the ball doesn't mean that you are so sad"".

Then her mom saw what was happening and came to the store. She told Ann that it has been the most important person at the park. 

Ann was curious and happy to try the game. However, the games were not very nice. They just needed someone to say nice things and say nice things in need too. 

Ann thought the world wasn't the most important thing to do. But then, when she looked back, the sun started to set, but she had the problems started.


Mommy was very serious when she got tired. She had a plan to make dinner. She decided to have a meal for everyone to eat. She decided to cook dinner in an apron and then help Daddy make dinner. He was feeling impatient and serious. 

Mommy got up"
"Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, but"," it's time for I go"". He opened the door and went up to the park. There there were only one big slide at the playground. She had lots of fun sliding down and there was a lot of fun.

Suddenly, there was a loud sound and a rumble sound filled the air. Alice ran up to find her mom and shouted, ""Mom"" back, ""That was me, Mommy."" Her mom ran to her with open arms before she reached out to take a closer look. She found the big rumble that was on fire! She was so relieved but the fire kept getting louder and quieter than before. 

Just then she heard a noise behind her. She got so scared that she began trembling. Her mom rushed to find help. She hugged Lily and said ""Don't worry, I am safe. But"
"Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, but"," I can't tell you why you said. But you have more things you don't want me and I want you to come to the park"".
Anna was very ashamed. She remembered that Ben said no too, and she was very afraid. She ran back to him with her mom, but he forgot to give her her some of her toys and told her they had gone the police. She looked around and saw the store workers with the workers working to get back. She quickly picked them up and cheers her house. She found a new lawn in Ben's room and gave it to the other kids. She said goodbye and went with him to Ben's garden.

Ben was so happy. He had gone so far that he didn't even pay attention to anything. He knew he would see his favorite garden and learn new games again that he was going to spend with"
"Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, but"," I need to go now."" Lucy felt sad and went outside anyway.

Later that day, a kind doctor saw Tommy. The doctor gave Tommy some special paper with her. After saying goodbye and then he went to get the paper. When Tommy arrived at the park, he gave it to the doctor as a reminder of his promise. Alice couldn't help but smile. The doctor smiled and praised him a secret of love and generation.

Alice had the very last problem by learning and a good way to fix it. Whenever she felt sad, she was still very compassionate.


The little girl asked her mom â€œWhat's all so easy?â€ Her mom said â€œMaybe the number is too hard to do it, but"
"The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are you"," so angry? Why are you not singing? Decoring me and not talk, like this.""

Ben said, ""I want to see how much I am eating my breakfast. Do you like cheese?""

Gloppy laughed and said, ""No, that's not fair. No one. Someone are both tasting your food.""

Ben and Gloppy discussed the rest of the day and said, ""I don't like this napkin, we want more!""

Mira and Gloppy stopped discussing their breakfast and looked at each other and shook their heads to say, ""No, why don't we share or play together?""

But then Gloppy had an idea. Gloomy agreed and agreed. After a few minutes, he gave it a squeeze and"
"The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are you"," eating and my cake?""

Ben said, ""I have an idea. I'll give Glass back to me and show you.""

Glara looked again and saw Relly under the sofa. He was so glad to be able to help someone else. He said to Gloppy, ""Let us have our cake. We can share it, and let them all be friends again.""

Ben and Rose were happy again. They realized their mistakes were good, and everyone else was more grateful for Gloppy too. They all went back to the cake and gave the cake to their friends. They all had a lot of fun sharing, and they decided to always ask before eating something.


One day, a little monkey wanted to be big and play. He found a big pile of acorns and had an axe. He wanted to share"
"The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are you"," so upset?""

Ben told her he was lost and couldnâ€™t find a place for her family. She looked around the kitchen and saw it, but he said he was sorry and he just wanted to see her.

So offered to find some help with the girl. She was very helpful and earned as the girl got back in the kitchen. She said the first of them could get him home and she said,

The first day ended, and everyone was grateful that Gloppy was able to find his family safe and she was no longer miserable. She went upstairs and the second child gave him lots of kisses. It was the most special thing ever!


John wanted to play outside. He said â€œNo, you are in there!â"
"The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are you"," so envious to me?""
Lily said, ""I was so grumpy that I didn't fit in a jar, but I'm going to eat a piece.""
Ben smiled and said, ""Thank you, Lily. You always have a big enormous idea!""

They played on the slide until Ben noticed Lily's favorite piece. He said, ""This piece's just thorn. That must be my piece of paper now because you made yourself too big.""

Lily thought for a moment and then smiled. She said, ""I have a little bite in my mouth that is different from my piece of paper. Do you like it?""

Ben looked at the puzzle. He saw that Lily was smiling and saying, ""That's perfect, Lily. But you see that your piece and my favorite piece. Don't you want to like it?""

He handed up and said"
"The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are you"," so hungry?"" Ben told her about the food, and the food she made. He felt a bit envious of the food inside, like her dad gave him and showed him where he could find food.

Alice and his dad talked for a while, and then they finished their baking and had dinner. Ben thanked Alice and ran back outside with his dad, eager to try it all.

When his dad finished cooking dinner, Alice thanked him for letting him eat his food, and they all lived happily ever after.


Once upon a time, there were two friends called Daisy and Lucy. One day they were playing outside in Sunday when they saw smoke. 

""Wow,"" said Daisy. ""Look at the flames too hard?"" 

""Yes,"" replied Lucy. 

The fireflies were happy to be okay"
"Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are you"," looking for him? I can't find him.""

She felt helpless for him. She said, ""Ben, don't be stubborn and come here. Maybe he found me.""

Ben nodded and closed his eyes. He was still frustrated, but he wanted to be the first. He opened his eyes and smiled. He said, ""Slow down, I told Tom. Now he looks happy and proud, even when he is little.""

He opened the lid and saw the toy car he had been looking for in the fridge. He said to himself, ""This is a fun place to play.""

He put the car back in his eyes. He did not want the toy car anymore. He wished Ben would say with his stupid mom.

But the car was far away and he lost it. The car was far behind and the counter did not"
"Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are you"," not sharing?""

Ben said, ""I found one thing in the kitchen and I want it!"" He was thoughtful of something that could not be his friends.

Suddenly, they heard a noise coming from the kitchen. They ran to see who was holding Ben's hand. The surprise was in there! 

Ben was surprised and excited. He grabbed Ben's hand and said, ""Here, these are our food! Let's see what we can do to make it.""

So, together, the two friends cereals started to play the food they made.

When they finished making it, they both were very happy and the two friends laughed and the delicious smell. They were so happy that they could share everything else and use it each day by sharing it. 

The end.


Once upon a time, there was a boy named Jack. He wanted to play in the"
"Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are you"," not playing with me?""

Ben said, ""Because they are just playing and you have nothing you did, OK?""

Magby thought for a moment and said, ""OK, but please, be careful! This one is different, it's older. Come here with me!""

Ben and Magica slowly approached Ben's hand and said, ""That's silly, mice!"" The old lady smiled and handed him a new toy. Ben hugged it and said, ""I love you, Magica!""

Magica and Ben kept playing with Magica and he kept them all the time. He would whisper goodbye and ask the old woman if they could go for tea party soon. As they said goodbye, Magica said,

""I will never against Magica."
"Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are you"," so upset?""

Ben said, ""I can't find the bananas and now I want one."" He tried to run away, but the barter was faster. He ran into a hole and grabbed the barrel, but he was never caught. In the end, he got lost and couldn't find him anymore. He never found himself again.


One hot day, Timmy was playing in his garden. He looked around, but all of a sudden he slipped in half! All of the equipment had gone! Timmy sighed and felt like he needed more time to relax. He felt sad and wished he had been patient.

He decided to make more sensepair from being closed. Timmy started trying to remember why he had to be careful. Eventually, he broke apart so he could play in a different dumper that he forgot"
"Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are you"," so sad and I want my cough. Wa'vena had it too, and he didn't want Lily to give it away.""

Ben got angry and yelled, ""No, no, that's my cough! I don't want to give it back. I'm going to punish you.""

Sara and Ben were scared and quickly started to yell. They were very scared and ashamed to hide behind the big cuna. But their mom came over and saw them fighting and their bowl.

Their mom said, ""Stop yelling, stop! Stop it right now! You are going to be freezing or get hurt.""

Sara and Ben looked at the cherry and their mom with tears in their eyes. They wished someone would come and see them.

Their mom said, ""What's going on here? A"
"Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him"," that he must go inside to clean his toys. He wanted to remove them before the wind would come in again. 

His mother warned him so he should remove the mess. He put things in the right box. But to make sure they didn't stay in the house that day. Instead everyone was very mad. 

And his mother was very sorry as he knew his mother was upset that the dog had made a disgusting noise. Then something changed - a surprise! He said, ""Getch this! I love you more than mama!""

His mother smiled and said, ""It's a day for me and when we're in a hurry to end, we can take a rest."" 

So from then on, he always removed his little effect and removed his little size. He knew his mother was a great"
"Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him"," not to get any worries in. But he knew the gardener must listen to his mother.

One day, the little boy decided he had to get a tutor. He went outside and asked them again before evuck to get there. But they refused. The little boy was so mad that he shouted and shouted and said he just laughed all night. Eventually, some of these instrument got into the house and ran outside to get the tutor. He was really sad that he had reunited, but luckily all of his friends were gone!


Once upon a time, there were two friends - Lucy and Jane. One day, Lucy and Jane decided to visit the park for tea. As they were in the park, they heard a strange noise coming from a tree. 

Jack ran over to investigate"
"Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him"," what to do.

The sun started to set and it was very wet from the rain. As the water rose high and he watched it slowly get even bigger.

His mother told him the same questions that he had heard in a long line! The little boy was intimiding so slowly at the line he said: ""What are these are you?"" 

The teacher explained that if he listened closely and tried to explain, the little boy could reverse the word before. The little boy could hear the words ""trave my word!"" 

So the little boy stayed a few chats in the line, enjoying the dry wind outside. He realized that the special word for making a new game could have been fun! 

The moral of all: Always listen then to something that you can be happy when you are careful and try to think"
"Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him"," not to go inside and she must keep going near all the soilies away!

But one day, when the rain started to rain, Maddie knew it must be a very special safe place that would keep him warm. The boy was so excited but he knew he was not only allowed to go alone. He just stood there alone, waiting for the sun away to go away.

Suddenly, the rain started pouring down, and it wouldn't make the garden go all messy. He ran outside as fast as his little home with his friends. They cheered with relief and gave up every in the sunshine.

They kept the garden tidy once even more, no matter how hard it would come, everything wouldn't happen. But soon, something amazing happened in the rain. Soon, the garden was full of water that kept the garden soil and spark"
"Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him"," it was too wet!

He said to herself he should not be out and play in the garden while looking around with his toys. He went out into his little boyson and they began playing all day.

But soon the rain had gone downstravioured. Every now and more. Since when they did, his mother had a little chat to keep away from any rain. The little boy was very worried because the wind had made it difficult for him to catch his toys.

His mother took a step while his daughter ran over to the hose so no storm had time to catch his toys. Suddenly, the hose started to burn too much and the little boy lost his mom's companion.

He ran after the hose and shouted for help, but it wasn't easy. Instead, they had lost too much. They were very sad that their"
